Category: All categories

Week,Haglöfs: (Worldwide)
2016-03-13,50
2016-03-20,55
2016-03-27,67
2016-04-03,53
2016-04-10,46
2016-04-17,51
2016-04-24,57
2016-05-01,42
2016-05-08,43
2016-05-15,46
2016-05-22,38
2016-05-29,41
2016-06-05,38
2016-06-12,54
2016-06-19,42
2016-06-26,53
2016-07-03,47
2016-07-10,46
2016-07-17,50
2016-07-24,52
2016-07-31,52
2016-08-07,64
2016-08-14,61
2016-08-21,56
2016-08-28,57
2016-09-04,53
2016-09-11,50
2016-09-18,62
2016-09-25,73
2016-10-02,56
2016-10-09,64
2016-10-16,64
2016-10-23,70
2016-10-30,60
2016-11-06,66
2016-11-13,68
2016-11-20,65
2016-11-27,72
2016-12-04,67
2016-12-11,54
2016-12-18,51
2016-12-25,73
2017-01-01,67
2017-01-08,66
2017-01-15,64
2017-01-22,60
2017-01-29,55
2017-02-05,56
2017-02-12,55
2017-02-19,54
2017-02-26,62
2017-03-05,57
2017-03-12,57
2017-03-19,54
2017-03-26,44
2017-04-02,43
2017-04-09,44
2017-04-16,49
2017-04-23,45
2017-04-30,47
2017-05-07,47
2017-05-14,36
2017-05-21,33
2017-05-28,41
2017-06-04,45
2017-06-11,43
2017-06-18,37
2017-06-25,46
2017-07-02,45
2017-07-09,43
2017-07-16,48
2017-07-23,60
2017-07-30,58
2017-08-06,53
2017-08-13,42
2017-08-20,57
2017-08-27,57
2017-09-03,68
2017-09-10,71
2017-09-17,76
2017-09-24,61
2017-10-01,63
2017-10-08,68
2017-10-15,71
2017-10-22,63
2017-10-29,66
2017-11-05,61
2017-11-12,59
2017-11-19,84
2017-11-26,76
2017-12-03,62
2017-12-10,67
2017-12-17,60
2017-12-24,71
2017-12-31,67
2018-01-07,62
2018-01-14,66
2018-01-21,70
2018-01-28,71
2018-02-04,64
2018-02-11,58
2018-02-18,59
2018-02-25,58
2018-03-04,68
2018-03-11,55
2018-03-18,62
2018-03-25,52
2018-04-01,56
2018-04-08,53
2018-04-15,43
2018-04-22,47
2018-04-29,46
2018-05-06,37
2018-05-13,35
2018-05-20,27
2018-05-27,26
2018-06-03,40
2018-06-10,36
2018-06-17,34
2018-06-24,45
2018-07-01,35
2018-07-08,39
2018-07-15,35
2018-07-22,36
2018-07-29,35
2018-08-05,50
2018-08-12,48
2018-08-19,54
2018-08-26,54
2018-09-02,50
2018-09-09,48
2018-09-16,51
2018-09-23,59
2018-09-30,59
2018-10-07,48
2018-10-14,53
2018-10-21,58
2018-10-28,66
2018-11-04,57
2018-11-11,49
2018-11-18,90
2018-11-25,69
2018-12-02,56
2018-12-09,47
2018-12-16,61
2018-12-23,71
2018-12-30,70
2019-01-06,68
2019-01-13,60
2019-01-20,57
2019-01-27,56
2019-02-03,61
2019-02-10,48
2019-02-17,55
2019-02-24,57
2019-03-03,48
2019-03-10,47
2019-03-17,52
2019-03-24,47
2019-03-31,52
2019-04-07,40
2019-04-14,42
2019-04-21,40
2019-04-28,40
2019-05-05,40
2019-05-12,37
2019-05-19,40
2019-05-26,43
2019-06-02,39
2019-06-09,37
2019-06-16,33
2019-06-23,37
2019-06-30,42
2019-07-07,42
2019-07-14,46
2019-07-21,41
2019-07-28,37
2019-08-04,53
2019-08-11,49
2019-08-18,53
2019-08-25,48
2019-09-01,56
2019-09-08,52
2019-09-15,64
2019-09-22,52
2019-09-29,57
2019-10-06,53
2019-10-13,52
2019-10-20,51
2019-10-27,56
2019-11-03,58
2019-11-10,56
2019-11-17,56
2019-11-24,86
2019-12-01,57
2019-12-08,61
2019-12-15,40
2019-12-22,56
2019-12-29,64
2020-01-05,55
2020-01-12,55
2020-01-19,65
2020-01-26,50
2020-02-02,53
2020-02-09,59
2020-02-16,54
2020-02-23,46
2020-03-01,46
2020-03-08,41
2020-03-15,36
2020-03-22,31
2020-03-29,38
2020-04-05,37
2020-04-12,38
2020-04-19,42
2020-04-26,45
2020-05-03,37
2020-05-10,52
2020-05-17,38
2020-05-24,42
2020-05-31,33
2020-06-07,40
2020-06-14,37
2020-06-21,33
2020-06-28,43
2020-07-05,61
2020-07-12,49
2020-07-19,56
2020-07-26,58
2020-08-02,52
2020-08-09,46
2020-08-16,53
2020-08-23,53
2020-08-30,61
2020-09-06,60
2020-09-13,58
2020-09-20,61
2020-09-27,67
2020-10-04,58
2020-10-11,63
2020-10-18,57
2020-10-25,55
2020-11-01,48
2020-11-08,62
2020-11-15,61
2020-11-22,100
2020-11-29,73
2020-12-06,60
2020-12-13,50
2020-12-20,64
2020-12-27,86
2021-01-03,75
2021-01-10,70
2021-01-17,68
2021-01-24,63
2021-01-31,63
2021-02-07,72
2021-02-14,53
2021-02-21,51
2021-02-28,55
